category,image_count,avg_width,avg_height,avg_brightness
glioma,826,512.0,512.0,35.460899214479014
meningioma,822,480.5997566909976,483.6861313868613,46.01322197346174
no_tumor,395,349.6632911392405,352.81772151898736,59.16980696163731
pituitary,827,510.0749697702539,510.03627569528413,49.323867204805765
